pbar,Polity_habitat_j,SUB2_Aj,A_j,Cj,LAT,LONG,LAT,LONG,SUB,PROTEIN,PLTYSIZE,AREA,MinTemp,CRR,MAT,Elevation
0.7,BIAN,SAGO-FISH,1.5,2401.65017912758,-7.36,140.565,-7.36,140.565,S-FH,FISHING,280,400,21.7000007629395,2428,26.7416667938232,43
0.7,EDOPI,SAGO,1,2587.25580701184,-3.129,137.396,-3.129,137.396,SH,HUNTING,30,42.8571428571429,21.8999996185303,3332,26.4750003814697,103
0.8,BINE,SAGO,1,2115.27968425829,-9.07,142.873,-9.07,142.873,SH,HUNTING,93.2,116.5,22.5,1839,26.5583324432373,26
0.8,IAU,SAGO-FISH,1.5,2592.87126408213,-3.183,137.681,-3.183,137.681,S-FH,FISHING,,,22,3261,26.6083335876465,82
0.8,KOPAR,SAGO-FISH,1.5,2363.11343190553,-3.921,144.471,-3.921,144.471,SF,FISHING,56,70,21.7999992370605,2334,26.845832824707,13
0.8,SAMAROKENA,SAGO,1,2527.6163053949,-1.85,138.344,-1.85,138.344,SH,HUNTING,62.5,78.125,22.5,2784,26.7416667938232,85
0.8,SENGGI,SAGO,1,2370.68019113828,-3.424,140.776,-3.424,140.776,SH,HUNTING,44.3,55.375,21.2999992370605,2352,25.8833332061768,284
0.8,SIKARITAI,SAGO-FISH,1.5,2594.51999305168,-2.825,138.294,-2.825,138.294,S-FH,FISHING,46,57.5,22.3999996185303,3014,26.9208335876465,64
0.8,YABIO,SAGO,1,2596.0015245388,-4.611,142.171,-4.611,142.171,SH,HUNTING,20,25,21.7999992370605,3419,26.6833324432373,51
1,BUN,HORT,2,2529.49453811032,-4.529,143.896,-4.529,143.896,SH-FH,FISHING,142,142,20.6000003814697,2790,26.3708324432373,37
1,ETORO,HORT,2,2359.76780528499,-6.103,142.652,-6.103,142.652,SH-H,HUNTING,36,36,16.7000007629395,4041,22.0125007629395,944
1,MARI,SAGO,1,2571.5459200504,-4.475,142.963,-4.475,142.963,SH,HUNTING,27,27,21.1000003814697,2931,26.6916656494141,69
1,NIMO/ITERI,HORT,2,2593.39443015269,-4.339,141.572,-4.339,141.572,SH-H,HUNTING,32,32,22.2000007629395,3291,26.6208343505859,81
1.1,ANKAVE,HORT,2,2110.60439997429,-7.199,145.769,-7.199,145.769,HH,HUNTING,29.3,26.6363636363636,12.1000003814697,2350,18.3125,1853
1.1,FASU (VALLEY),SAGO,1,2473.41830192383,-6.538,143.194,-6.538,143.194,SH,HUNTING,37,33.6363636363636,18,4327,24.0499992370605,483
1.1,KALOU,SAGO,1,2484.68644108515,-3.941,142.219,-3.941,142.219,SH,HUNTING,391,355.454545454545,21.8999996185303,2653,26.4874992370605,80
1.1,KIRIKIRI,SAGO-FISH,1.5,2591.99808639791,-3.033,137.466,-3.033,137.466,S-FH,FISHING,,,22,3297,26.5874996185303,94
1.1,MINAMIN(WEST),HORT,2,2300.19631623278,-4.765,141.395,-4.765,141.395,HH,HUNTING,44,40,16.1000003814697,3937,21.0499992370605,1179
1.1,NAGATMAN/JADE,SAGO,1,2522.88785520377,-3.805,141.571,-3.805,141.571,SH,HUNTING,74.8,68,22.2999992370605,2769,26.5583343505859,70
1.1,YADE,SAGO,1,2522.88785520377,-3.8,141.568,-3.8,141.568,SH,HUNTING,71.9,65.3636363636364,22.2999992370605,2769,26.5583343505859,79
1.1,YONGGOM,HORT,2,2605.78033984021,-6.404,141.217,-6.404,141.217,SH-FH,HUNTING,30,27.2727272727273,21.7999992370605,4135,26.9208335876465,62
1.2,AWUN,SAGO,1,2486.39444524498,-3.802,142.001,-3.802,142.001,SH,HUNTING,187,155.833333333333,22,2658,26.4833335876465,88
1.2,KARAWARI,SAGO-FISH,1.5,2533.53846256954,-4.492,143.595,-4.492,143.595,SF,FISHING,80,66.6666666666667,20.7999992370605,2803,26.6124992370605,25
1.2,WOGAMUSIN,SAGO-FISH,1.5,2560.01370986171,-4.231,142.402,-4.231,142.402,SF,FISHING,174,145,22.1000003814697,2891,27.0041675567627,18
1.3,BISIS,SAGO-FISH,1.5,2562.05402078247,-4.472,143.062,-4.472,143.062,S-FH,FISHING,110,84.6153846153846,21.1000003814697,2898,26.6791667938232,40
1.3,YEREKAI,SAGO,1,2500.51999480376,-4.294,142.949,-4.294,142.949,SH,HUNTING,97,74.6153846153846,21.2000007629395,2700,26.6666660308838,152
1.4,BOUYE,SAGO-FISH,1.5,2470.11311054331,-3.678,141.925,-3.678,141.925,S-HF,FISHING,85.4,61,21.6000003814697,2611,25.8291664123535,220
1.4,IWAM (SEPIK),SAGO-FISH,1.5,2608.65766467898,-4.306,142.117,-4.306,142.117,SF,FISHING,328,234.285714285714,22.2999992370605,3087,26.9916667938232,25
1.4,MIANMIN(EAST,HORT,2,2356.76620844631,-4.858,141.568,-4.858,141.568,HH,HUNTING,53,37.8571428571429,17.1000003814697,3689,21.9624996185303,941
1.5,NGALA,SAGO-FISH,1.5,2566.68213081428,-4.267,142.503,-4.267,142.503,SF,FISHING,136,90.6666666666667,22,2914,27.0249996185303,15
1.5,ODOODEE,SAGO,1,2572.93206247376,-6.59,142.482,-6.59,142.482,SH,HUNTING,54,36,20.8999996185303,4026,26.1416664123535,139
1.5,PARE,SAGO,1,2606.62842051386,-6.775,141.736,-6.775,141.736,SH,HUNTING,44,29.3333333333333,21.7999992370605,3567,26.9416656494141,26
1.5,PASI,SAGO,1,2470.46483865126,-3.955,142.308,-3.955,142.308,SH,HUNTING,60,40,21.8999996185303,2612,26.529167175293,86
1.6,AEKYOM,HORT,2,2593.39435037201,-5.76,141.53,-5.76,141.53,SH-H,HUNTING,28.5,17.8125,21.1000003814697,5403,26.6208324432373,80
1.6,ALAMBLAK,SAGO,1,2581.39679364411,-4.669,143.316,-4.669,143.316,SH,HUNTING,17,10.625,20.7000007629395,3083,26.3374996185303,60
1.6,AUWYU(SOUTH),HORT,2,2457.29409182039,-7.148,139.543,-7.148,139.543,SH-H,HUNTING,,,22.1000003814697,2575,27,12
1.6,KWOMA(NUKUMA),SAGO,1,2451.13332155793,-4.06,142.66,-4.06,142.66,SH,HUNTING,142,88.75,21.8999996185303,2558,26.9791660308838,27
1.6,SANIO-HIOWE,SAGO,1,2602.54328379591,-4.458,142.373,-4.458,142.373,SH,HUNTING,25,15.625,21.8999996185303,3166,26.841667175293,38
1.6,YAFI,SAGO,1,2394.45579406653,-3.497,140.87,-3.497,140.87,SH,HUNTING,34.3,21.4375,21.2000007629395,2410,25.6333332061768,328
1.7,ONABASULU,HORT,2,2439.2158829659,-6.292,142.769,-6.292,142.769,SH-HL,HUNTING,49,28.8235294117647,17.7000007629395,4198,23.404167175293,691
1.7,SUKI,SAGO-FISH,1.5,2259.99601771478,-8.048,141.84,-8.048,141.84,S-FH,FISHING,,,21.7000007629395,2108,26.5625,35
1.8,DUVLI,SAGO-FISH,1.5,2595.30767205671,-3.202,137.972,-3.202,137.972,S-FH,FISHING,,,21.8999996185303,3166,26.6666660308838,70
1.8,GEBUSI,HORT,2,2588.48966636317,-6.316,142.232,-6.316,142.232,HH,HUNTING,42,23.3333333333333,21.1000003814697,4207,26.5041656494141,116
1.8,PAHI,SAGO,1,2410.32734101671,-3.799,142.303,-3.799,142.303,SH,HUNTING,88,48.8888888888889,21.5,2450,26.0833339691162,169
1.9,HAMTAI,HORT,2,2257.04196127623,-7.265,146.461,-7.265,146.461,HH,HUNTING,86.3,45.421052631579,15.1999998092651,2102,21.375,1135
1.9,HEWA,HORT,2,2379.27275768885,-5.221,142.436,-5.221,142.436,HH,HUNTING,18,9.47368421052632,17.1000003814697,3629,22.341667175293,848
1.9,MAYO,SAGO,1,2501.51396864748,-4.128,142.579,-4.128,142.579,SH,HUNTING,121,63.6842105263158,21.8999996185303,2703,26.9750003814697,33
1.9,YIMAS,SAGO-FISH,1.5,2582.64542413845,-4.727,143.573,-4.727,143.573,SF,FISHING,150,78.9473684210526,20.5,3104,26.3666667938232,30
2,ARAFUNDI(LOW,SAGO,1,2571.65919153132,-4.763,143.687,-4.763,143.687,SH,HUNTING,107,53.5,20.2999992370605,3139,26.1124992370605,106
2,BIAKA,HORT,2,2505.14164621445,-3.741,141.282,-3.741,141.282,SH-H,HUNTING,90,45,21.8999996185303,2714,26.220832824707,183
2,IWAM (MAY),SAGO-FISH,1.5,2606.28935876607,-4.25,141.814,-4.25,141.814,SF,FISHING,79,39.5,22.3999996185303,3171,26.9333324432373,34
2.1,KAMORO,SAGO-FISH,1.5,2567.63827883082,-4.389,135.893,-4.389,135.893,SF,FISHING,501,238.571428571429,20.8999996185303,3112,26.0208339691162,180
2.1,MARIND-ANIM,SAGO-FISH,1.5,1863.62395770703,-9.138,141.076,-9.138,141.076,SF,FISHING,430,204.761904761905,21.8999996185303,1462,26.6416664123535,22
2.1,NOPUK,SAGO,1,2562.34472038972,-2.611,138.404,-2.611,138.404,SH,HUNTING,94,44.7619047619048,21.5,2899,25.9541664123535,186
2.1,SENGO,HORT,2,2365.22438918354,-4.028,142.962,-4.028,142.962,H-HF,HUNTING,266,126.666666666667,21.5,2339,27.0208339691162,28
2.2,ABAU(GREEN R.),SAGO-FISH,1.5,2571.26133206856,-3.959,141.126,-3.959,141.126,S-FH,FISHING,32.5,14.7727272727273,22.3999996185303,2930,26.8291664123535,64
2.3,KANINGARA,SAGO-FISH,1.5,2555.31437685919,-4.491,143.184,-4.491,143.184,SF,FISHING,150,65.2173913043478,21.1000003814697,2875,26.720832824707,28
2.3,KAPRIMAN,SAGO-FISH,1.5,2565.81810133121,-4.529,143.243,-4.529,143.243,SF,FISHING,190,82.6086956521739,21.1000003814697,2911,26.6666660308838,34
2.4,SAWI,SAGO-FISH,1.5,2606.96731181825,-5.993,138.649,-5.993,138.649,SF,FISHING,157,65.4166666666667,22.1000003814697,3799,26.9500007629395,28
2.5,SELTAMIN,HORT,2,2349.47038685461,-5.434,141.887,-5.434,141.887,HL,LIVESTOCK,,,16.7000007629395,4174,21.841667175293,951
2.6,ATBALMIN,HORT,2,2389.70329014297,-4.856,141.217,-4.856,141.217,HH,HUNTING,24,9.23076923076923,17.7000007629395,3902,22.5208339691162,960
2.6,BOIKEN(KUNAI),SAGO,1,2205.50748282519,-3.842,143.32,-3.842,143.32,SH,HUNTING,185,71.1538461538462,21.1000003814697,2001,26.9583339691162,71
2.7,WATAM,SAGO-FISH,1.5,2378.56981743944,-3.954,144.53,-3.954,144.53,SF,FISHING,138,51.1111111111111,21.7999992370605,2371,26.7541656494141,8
2.9,ASMAT (KEENOK),SAGO-FISH,1.5,2604.07944500004,-5.167,138.219,-5.167,138.219,SF,FISHING,789,272.068965517241,21.7999992370605,4057,26.8791675567627,17
2.9,MONGOL,SAGO-FISH,1.5,2377.74400994218,-4.263,143.917,-4.263,143.917,SF,FISHING,150,51.7241379310345,20.7999992370605,2369,26.7124996185303,15
3,ASMAT (KAWENA,SAGO-FISH,1.5,2553.56248035003,-6.837,138.967,-6.837,138.967,SF,FISHING,511,170.333333333333,,,,8
3,KALULI,HORT,2,2428.0536665505,-6.475,142.79,-6.475,142.79,SH-H,HUNTING,60,20,17.7999992370605,4097,23.2000007629395,769
3.1,FERAMIN,HORT,2,2213.22189662051,-5.207,141.69,-5.207,141.69,H-HL,LIVESTOCK,211,68.0645161290323,14.1999998092651,3772,19.7416667938232,1410
3.1,SAMO,HORT,2,2583.17961816175,-6.153,142.194,-6.153,142.194,HH,HUNTING,56,18.0645161290323,21.1000003814697,4275,26.3791675567627,126
3.3,AMA,SAGO,1,2603.05584572522,-4.205,141.656,-4.205,141.656,SH,HUNTING,14,4.24242424242424,22.3999996185303,3143,26.8541660308838,47
3.3,AMTO,SAGO,1,2565.24751982578,-4.107,141.332,-4.107,141.332,SH,HUNTING,,,21.7000007629395,3075,25.966667175293,267
3.3,IATMUL(EAST),SAGO-FISH,1.5,2390.4216018431,-4.194,143.599,-4.194,143.599,SF,FISHING,866,262.424242424242,21.2000007629395,2400,26.9583339691162,7
3.4,WABUDA,SAGO-FISH,1.5,2514.25705333379,-8.42,143.679,-8.42,143.679,SF,FISHING,292.5,86.0294117647059,22,2742,26.216667175293,
3.5,ABELAM(SWOSERA),HORT,2,2244.1041760698,-3.861,142.963,-3.861,142.963,HL,LIVESTOCK,203.3,58.0857142857143,21.2999992370605,2076,26.7958335876465,63
3.5,KIWAI ISLAND,SAGO-FISH,1.5,2446.00726793208,-8.522,143.394,-8.522,143.394,SF,FISHING,,,21.8999996185303,2544,26.2416667938232,13
3.5,MURIK,SAGO-FISH,1.5,2247.10967410492,-3.847,144.179,-3.847,144.179,SF,FISHING,230,65.7142857142857,21.3999996185303,2082,26.8833332061768,10
3.7,CHAMBRI,SAGO-FISH,1.5,2448.5762512086,-4.253,143.097,-4.253,143.097,SF,FISHING,220,59.4594594594595,21.5,2551,27.0458335876465,4
3.7,MANAMBU,HORT,2,2486.39444524498,-4.188,142.87,-4.188,142.87,SH-F,FISHING,430,116.216216216216,21.7999992370605,2658,27.2041664123535,25
3.9,GOGODALA (W),HORT,2,2446.74248199008,-8.107,142.869,-8.107,142.869,SH-F,FISHING,270,69.2307692307692,21.3999996185303,2546,26.3875007629395,44
4,BIMIN-KUSKUS,AGG,3,2161.22981220444,-5.381,142.04,-5.381,142.04,AH,HUNTING,,,13.8000001907349,4010,19.0041675567627,1674
4,POLOPA,HORT,2,2500.20117204638,-6.997,144.463,-6.997,144.463,HH,HUNTING,75,18.75,18.5,4404,24.5791664123535,211
4.1,MONI,HORT,2,2045.71595701503,-3.956,136.482,-3.956,136.482,HL,LIVESTOCK,24.9,6.07317073170732,11.6000003814697,3344,17.4583339691162,1875
4.1,TIFAL,HORT,2,2162.42771565778,-5.117,141.411,-5.117,141.411,HH,HUNTING,40,9.75609756097561,13.5,4291,19.0208339691162,1456
4.3,JAQAI,SAGO-FISH,1.5,2608.32008919065,-6.605,139.256,-6.605,139.256,SF,FISHING,82,19.0697674418605,22.1000003814697,3230,26.9833335876465,30
4.3,SAMBERIGI,HORT,2,2216.95757550385,-6.728,143.929,-6.728,143.929,H-HL,LIVESTOCK,,,13,3521,19.7958335876465,1264
4.4,BAKTAMAN,HORT,2,2349.47038685461,-5.437,141.886,-5.437,141.886,HH,HUNTING,212,48.1818181818182,16.7000007629395,4174,21.841667175293,1113
4.6,IATMUL(PALIM,SAGO-FISH,1.5,2412.28180803405,-4.186,143.243,-4.186,143.243,S-HF,FISHING,337,73.2608695652174,21.3999996185303,2455,27.0666656494141,13
4.6,KAMBOT,SAGO-FISH,1.5,2423.87331966586,-4.327,144.087,-4.327,144.087,SF,FISHING,300,65.2173913043478,20.7000007629395,2485,26.6166667938232,18
4.6,WOVAN,HORT,2,2302.05694138431,-5.145,144.263,-5.145,144.263,HH,HUNTING,15,3.26086956521739,15.3000001907349,3381,21.0791664123535,1068
4.7,KORIKI/PURARI,SAGO-FISH,1.5,2567.45472436403,-7.607,145.039,-7.607,145.039,SF,FISHING,856,182.127659574468,20.8999996185303,3279,26.0166664123535,16
4.8,ABAU(IDAM),SAGO-FISH,1.5,2601.51632071926,-4.147,141.26,-4.147,141.26,S-FH,FISHING,52,10.8333333333333,22.3999996185303,3084,26.8166656494141,69
4.8,WAINA,HORT,2,2325.23831609509,-3.35,141.158,-3.35,141.158,SH-H,HUNTING,205,42.7083333333333,20.7999992370605,2247,25.1375007629395,416
4.9,FAIWOLMIN,HORT,2,2224.96458089508,-5.29,141.502,-5.29,141.502,HH,HUNTING,220,44.8979591836735,14.6999998092651,4386,19.9125003814697,1319
4.9,YAGWOIA,HORT,2,2200.78388722721,-7.024,146.098,-7.024,146.098,H-HL,LIVESTOCK,30,6.12244897959184,13.3000001907349,2166,19.5625,1457
5.1,LANGAM,SAGO-FISH,1.5,2402.84090561344,-4.306,143.885,-4.306,143.885,SF,FISHING,200,39.2156862745098,20.7999992370605,2431,26.6625003814697,21
5.2,AMANAB,HORT,2,2408.3663743855,-3.526,141.178,-3.526,141.178,SH-H,HUNTING,85,16.3461538461538,20.7999992370605,2445,25.1083335876465,351
5.3,ANGGOR,HORT,2,2492.83339065263,-3.699,141.2,-3.699,141.2,SH-H,HUNTING,86,16.2264150943396,21.7999992370605,2677,26.0083332061768,205
5.6,MALINGUAT(GAIKAROBI),SAGO-FISH,1.5,2353.7415070381,-4.106,143.29,-4.106,143.29,S-FH,FISHING,325,58.0357142857143,21.2999992370605,2312,26.908332824707,23
5.8,KEREWO,SAGO-FISH,1.5,2546.87015945821,-7.56,144.301,-7.56,144.301,SF,FISHING,191,32.9310344827586,20.6000003814697,4791,25.5583343505859,22
5.9,AWA(ILAKIA),HORT,2,2272.66180084469,-6.643,145.716,-6.643,145.716,HL,LIVESTOCK,163,27.6271186440678,14.5,2134,21.158332824707,1450
5.9,MEK (EIPO),HORT,2,2325.41185270812,-4.362,140.047,-4.362,140.047,HH,HUNTING,107,18.135593220339,16.5,2932,21.4500007629395,1027
5.9,NAMIE,SAGO,1,2526.67437922825,-3.848,141.787,-3.848,141.787,SH,HUNTING,88.5,15,22.2000007629395,2781,26.5583324432373,76
6.3,KWOMA(HILL),SAGO-FISH,1.5,2482.28568863676,-4.139,142.716,-4.139,142.716,SF,FISHING,280,44.4444444444444,21.7999992370605,2646,26.9541664123535,46
6.4,URAPMIN,HORT,2,2298.86529148198,-5.118,141.544,-5.118,141.544,H-HL,LIVESTOCK,50,7.8125,15.6000003814697,3912,21.029167175293,1185
6.7,IATMUL(NYAUR,SAGO-FISH,1.5,2431.47370373153,-4.228,143.352,-4.228,143.352,S-HF,FISHING,314,46.865671641791,21.2999992370605,2505,27.0625,15
6.8,DUNA(HORAILE),HORT,2,2121.73276127691,-5.438,142.431,-5.438,142.431,HL,LIVESTOCK,252,37.0588235294118,13,3552,18.4624996185303,1717
7,ELIPTAMIN,HORT,2,2171.67590294756,-5.044,141.676,-5.044,141.676,HH,HUNTING,126,18,13.8999996185303,3651,19.1499996185303,1524
7.2,BINUMARIEN,HORT,2,2340.30106777542,-6.217,146.098,-6.217,146.098,HL,LIVESTOCK,110,15.2777777777778,16,2281,21.8333339691162,925
7.5,YURI,HORT,2,2456.19551172253,-3.78,141.096,-3.78,141.096,HH,HUNTING,35,4.66666666666667,19.3999996185303,2719,23.720832824707,778
7.8,SAMBIA,HORT,2,2409.93625381929,-7.041,145.605,-7.041,145.605,HH,HUNTING,47.5,6.08974358974359,16.7999992370605,2569,22.875,763
9,GADSUP(ARONA),HORT,2,2265.86894064852,-6.302,146.011,-6.302,146.011,HH,HUNTING,159,17.6666666666667,14.1999998092651,2120,20.5416660308838,1316
9.1,AWA(TAUNA),HORT,2,2238.2843977591,-6.606,145.723,-6.606,145.723,HL,LIVESTOCK,263,28.9010989010989,13.6000003814697,2089,20.1083335876465,1374
9.8,PAIELA,HORT,2,1997.00795129189,-5.428,142.977,-5.428,142.977,H-HL,LIVESTOCK,267.8,27.3265306122449,11,3034,16.8374996185303,1937
10,FOI(MUBU),SAGO-FISH,1.5,2389.70329014297,-6.467,143.495,-6.467,143.495,SF,FISHING,121,12.1,16.2999992370605,3724,22.5208339691162,793
10.3,TELEFOMIN,HORT,2,2219.82330576731,-5.131,141.628,-5.131,141.628,HH,HUNTING,133,12.9126213592233,14.3999996185303,3729,19.8374996185303,1475
10.5,BARUYA,HORT,2,1694.46810452047,-6.9,145.816,-6.9,145.816,HL,LIVESTOCK,198,18.8571428571429,7.09999990463257,2468,13.2416667938232,2627
10.8,MUYU (SOUTH),HORT,2,2611.18164293193,-6.049,140.893,-6.049,140.893,HH,HUNTING,32,2.96296296296296,21.8999996185303,5041,27.0541667938232,45
10.9,ARAPESH(MOUNTAIN),HORT,2,2129.26684153173,-3.481,143.115,-3.481,143.115,H-HL,LIVESTOCK,225,20.6422018348624,19.8999996185303,1863,25.1499996185303,322
10.9,KOPON (LOWER,HORT,2,2280.31669277127,-5.213,144.375,-5.213,144.375,HH,HUNTING,20,1.8348623853211,14.8000001907349,3326,20.7416667938232,1051
10.9,TAIRORA(NORT,AGG,3,2148.5884814883,-6.355,145.883,-6.355,145.883,AL,LIVESTOCK,215,19.7247706422018,12.1000003814697,2067,18.8291664123535,1690
11.2,KWANGA(KWANGA),HORT,2,2164.38534514557,-3.683,142.842,-3.683,142.842,H-HL,LIVESTOCK,265.7,23.7232142857143,20.7999992370605,1925,26.0083332061768,211
11.5,BEDAMINI,HORT,2,2533.74654561021,-6.059,142.502,-6.059,142.502,HH,HUNTING,60,5.21739130434783,19.7000007629395,4239,25.2749996185303,293
11.5,DUNA(YAKONA),AGG,3,2466.05915066967,-5.296,142.311,-5.296,142.311,AL,LIVESTOCK,245,21.304347826087,18.2000007629395,3910,23.908332824707,525
12.1,DANI (ILAGA),HORT,2,1869.64786238331,-3.992,137.642,-3.992,137.642,HL,LIVESTOCK,217,17.9338842975207,9.10000038146973,3018,15.279167175293,2277
12.4,KAIMBI,HORT,2,2230.3674013387,-5.991,144.183,-5.991,144.183,HL,LIVESTOCK,288,23.2258064516129,13.3999996185303,3004,19.9916667938232,1329
12.7,OKSAPMIN(BAK),HORT,2,2052.80011632677,-5.259,142.074,-5.259,142.074,HH,HUNTING,,,12.1000003814697,3949,17.5499992370605,1811
12.8,NARAK,HORT,2,2117.4148201378,-5.56,144.752,-5.56,144.752,HL,LIVESTOCK,222,17.34375,12.5,2554,18.404167175293,1590
13.4,GNAU,HORT,2,2405.21525460177,-3.585,142.201,-3.585,142.201,SH-H,HUNTING,270,20.1492537313433,20.8999996185303,2437,25.3624992370605,279
13.6,OLO(WAPE),HORT,2,2443.79575848584,-3.508,141.993,-3.508,141.993,SH-H,HUNTING,190,13.9705882352941,20.6000003814697,2538,24.8208332061768,353
13.7,ENGA(TOMBEMA),HORT,2,2226.10405442954,-5.35,143.983,-5.35,143.983,HL,LIVESTOCK,219.5,16.021897810219,14,2847,19.9291667938232,1342
13.7,KUNIMAIPA,HORT,2,2106.25479346748,-8.059,146.891,-8.059,146.891,HL,LIVESTOCK,110.7,8.08029197080292,11.8000001907349,2540,18.2541675567627,1892
13.8,ALI (ISLAND),SAGO-FISH,1.5,2349.74390375533,-3.126,142.469,-3.126,142.469,SF,FISHING,,,,,,
14.1,KWANGA (TAU),HORT,2,2192.74502892962,-3.665,142.725,-3.665,142.725,HL,LIVESTOCK,323,22.9078014184397,20.6000003814697,1977,25.6124992370605,255
14.1,TAIRORA(SOUT,HORT,2,2108.74178267729,-6.459,145.961,-6.459,145.961,HL,LIVESTOCK,240,17.0212765957447,11.6999998092651,2098,18.2875003814697,1734
14.2,BIWAT,SAGO-FISH,1.5,2463.74190395383,-4.403,143.874,-4.403,143.874,S-HF,FISHING,263,18.5211267605634,20.7000007629395,2593,26.5249996185303,23
14.8,KOMBIO,HORT,2,2217.54879108168,-3.515,142.715,-3.515,142.715,SH-L,LIVESTOCK,78,5.27027027027027,19.3999996185303,2024,24.3083343505859,503
15.1,DARIBI,HORT,2,2289.22935253836,-6.489,144.512,-6.489,144.512,HH,HUNTING,70,4.63576158940397,14.3999996185303,3421,20.8791656494141,1089
15.2,TAUADE,HORT,2,2290.84174553292,-8.307,147.101,-8.307,147.101,HL,LIVESTOCK,202,13.2894736842105,14.3999996185303,2753,20.904167175293,1367
15.4,BOIKEN(CENTRAL),HORT,2,2124.62920032405,-3.733,143.411,-3.733,143.411,H-HL,LIVESTOCK,265.3,17.2272727272727,20.6000003814697,1855,26.1708335876465,189
15.5,TUMLEO,SAGO-FISH,1.5,2430.71819926615,-3.12,142.398,-3.12,142.398,SF,FISHING,71,4.58064516129032,22.7000007629395,2503,26.7374992370605,
16,MENYA,HORT,2,2235.18055348541,-7.159,146.074,-7.159,146.074,HL,LIVESTOCK,,,13.5,2197,20.0625,1613
